,Reward
1207,527.0
1208,524.0
1209,762.0
1210,687.0
1211,679.0
1212,744.0
1213,657.0
1214,406.0
1215,572.0
1216,763.0
1217,947.0
1218,658.0
1219,545.0
1220,726.0
1221,617.0
1222,636.0
1223,727.0
1224,672.0
1225,828.0
1226,264.0
1227,828.0
1228,685.0
1229,537.0
1230,880.0
1231,684.0
1232,643.0
1233,567.0
1234,570.0
1235,842.0
1236,846.0
1237,991.0
1238,387.0
1239,635.0
1240,486.0
1241,828.0
1242,775.0
1243,652.0
1244,780.0
1245,580.0
1246,257.0
1247,756.0
1248,684.0
1249,543.0
1250,571.0
1251,400.0
1252,585.0
1253,433.0
1254,614.0
1255,290.0
1256,735.0
1257,531.0
1258,666.0
1259,579.0
1260,788.0
1261,545.0
1262,558.0
1263,534.0
1264,227.0
1265,927.0
1266,1017.0
1267,387.0
1268,749.0
1269,683.0
1270,878.0
1271,366.0
1272,144.0
1273,734.0
1274,924.0
1275,535.0
1276,701.0
1277,613.0
1278,639.0
1279,717.0
1280,554.0
1281,678.0
1282,573.0
1283,738.0
1284,734.0
1285,563.0
1286,732.0
1287,788.0
1288,716.0
1289,468.0
1290,549.0
1291,546.0
1292,706.0
1293,801.0
1294,673.0
1295,478.0
1296,870.0
1297,979.0
1298,962.0
1299,744.0
1300,739.0
1301,645.0
1302,456.0
1303,986.0
1304,864.0
1305,923.0
1306,665.0
1307,515.0
1308,476.0
1309,567.0
1310,465.0
1311,858.0
1312,843.0
1313,873.0
1314,1106.0
1315,563.0
1316,855.0
1317,576.0
1318,798.0
1319,672.0
1320,748.0
1321,789.0
1322,663.0
1323,954.0
1324,810.0
1325,562.0
1326,557.0
1327,1035.0
1328,748.0
1329,646.0
1330,1049.0
1331,631.0
1332,609.0
1333,682.0
1334,765.0
1335,759.0
1336,459.0
1337,1021.0
1338,699.0
1339,816.0
1340,635.0
1341,692.0
1342,950.0
1343,767.0
1344,502.0
1345,566.0
1346,1146.0
1347,747.0
1348,807.0
1349,486.0
1350,423.0
1351,933.0
1352,720.0
1353,618.0
1354,694.0
1355,975.0
1356,797.0
1357,1108.0
1358,481.0
1359,927.0
1360,780.0
1361,824.0
1362,861.0
1363,461.0
1364,399.0
1365,896.0
1366,903.0
1367,630.0
1368,507.0
1369,747.0
1370,855.0
1371,633.0
1372,683.0
1373,774.0
1374,785.0
1375,375.0
1376,559.0
1377,1060.0
1378,410.0
1379,1004.0
1380,654.0
1381,778.0
1382,1031.0
1383,813.0
1384,497.0
1385,751.0
1386,667.0
1387,932.0
1388,731.0
1389,680.0
1390,587.0
1391,1165.0
1392,775.0
1393,991.0
1394,830.0
1395,617.0
1396,532.0
1397,709.0
1398,739.0
1399,871.0
1400,801.0
1401,595.0
1402,585.0
1403,871.0
1404,1053.0
1405,919.0
1406,1054.0
1407,462.0
1408,1116.0
1409,561.0
1410,509.0
1411,815.0
1412,891.0
1413,696.0
1414,992.0
1415,892.0
1416,851.0
1417,565.0
1418,1022.0
1419,433.0
1420,830.0
1421,765.0
1422,755.0
1423,725.0
1424,361.0
1425,492.0
1426,780.0
1427,758.0
1428,465.0
1429,622.0
1430,757.0
1431,901.0
1432,1031.0
1433,803.0
1434,1143.0
1435,1068.0
1436,936.0
1437,466.0
1438,471.0
1439,464.0
1440,882.0
1441,885.0
1442,928.0
1443,717.0
1444,720.0
1445,950.0
1446,816.0
1447,788.0
1448,1078.0
1449,685.0
1450,369.0
1451,677.0
1452,216.0
1453,1014.0
1454,700.0
1455,675.0
1456,352.0
1457,940.0
1458,746.0
1459,68.0
1460,650.0
1461,512.0
1462,521.0
1463,801.0
1464,933.0
1465,513.0
1466,673.0
1467,878.0
1468,851.0
1469,1128.0
1470,838.0
1471,675.0
1472,372.0
1473,342.0
1474,748.0
1475,618.0
1476,919.0
1477,1028.0
1478,828.0
1479,925.0
1480,1064.0
1481,755.0
1482,819.0
1483,558.0
1484,819.0
1485,773.0
1486,729.0
1487,784.0
1488,1079.0
1489,564.0
1490,872.0
1491,936.0
1492,736.0
1493,748.0
1494,945.0
1495,869.0
1496,713.0
1497,513.0
1498,716.0
1499,761.0
1500,977.0
1501,892.0
1502,599.0
1503,841.0
1504,1009.0
1505,596.0
1506,846.0
1507,762.0
1508,956.0
1509,824.0
1510,681.0
1511,892.0
1512,522.0
1513,720.0
1514,922.0
1515,904.0
1516,654.0
1517,1112.0
1518,633.0
1519,987.0
1520,800.0
1521,613.0
1522,811.0
1523,615.0
1524,1292.0
1525,747.0
1526,947.0
1527,748.0
1528,723.0
1529,951.0
1530,981.0
1531,526.0
1532,826.0
1533,658.0
1534,515.0
1535,880.0
1536,801.0
1537,869.0
1538,963.0
1539,744.0
1540,834.0
1541,709.0
1542,995.0
1543,941.0
1544,1038.0
1545,829.0
1546,947.0
1547,324.0
1548,532.0
1549,808.0
1550,524.0
1551,740.0
1552,556.0
1553,954.0
1554,763.0
1555,928.0
1556,799.0
1557,637.0
1558,420.0
1559,956.0
1560,932.0
1561,1002.0
1562,750.0
1563,649.0
1564,855.0
1565,945.0
1566,872.0
1567,950.0
1568,824.0
1569,774.0
1570,1122.0
1571,655.0
1572,687.0
1573,540.0
1574,800.0
1575,793.0
1576,697.0
1577,1078.0
1578,825.0
1579,873.0
1580,825.0
1581,621.0
1582,770.0
1583,866.0
1584,689.0
1585,1046.0
1586,422.0
1587,779.0
1588,727.0
1589,832.0
1590,1089.0
1591,752.0
1592,730.0
1593,595.0
1594,870.0
1595,1036.0
1596,618.0
1597,927.0
1598,788.0
1599,689.0
1600,758.0
1601,915.0
1602,881.0
1603,1067.0
1604,871.0
1605,824.0
1606,861.0
1607,599.0
1608,557.0
1609,1185.0
1610,608.0
1611,1032.0
1612,744.0
1613,716.0
1614,838.0
1615,1150.0
1616,491.0
1617,1070.0
1618,1158.0
1619,848.0
1620,761.0
1621,1022.0
1622,884.0
1623,717.0
1624,1009.0
1625,612.0
1626,674.0
1627,803.0
1628,964.0
1629,955.0
1630,820.0
1631,1044.0
1632,774.0
1633,927.0
1634,1028.0
1635,775.0
1636,784.0
1637,822.0
1638,1079.0
1639,1014.0
1640,916.0
1641,1058.0
1642,810.0
1643,794.0
1644,838.0
1645,986.0
1646,993.0
1647,797.0
1648,464.0
1649,1062.0
1650,452.0
1651,781.0
1652,765.0
1653,660.0
1654,1170.0
1655,945.0
1656,954.0
1657,855.0
1658,531.0
1659,711.0
1660,799.0
1661,927.0
1662,783.0
1663,826.0
1664,538.0
1665,738.0
1666,848.0
1667,623.0
1668,902.0
1669,843.0
1670,909.0
1671,851.0
1672,942.0
1673,978.0
1674,765.0
1675,912.0
1676,999.0
1677,673.0
1678,1259.0
1679,843.0
1680,929.0
1681,1365.0
1682,885.0
1683,932.0
1684,1035.0
1685,845.0
1686,949.0
1687,856.0
1688,1055.0
1689,974.0
1690,1131.0
1691,964.0
1692,1080.0
1693,815.0
1694,986.0
1695,842.0
1696,1053.0
1697,798.0
1698,891.0
1699,900.0
1700,902.0
1701,1026.0
1702,730.0
1703,869.0
1704,866.0
1705,765.0
1706,604.0
1707,1139.0
1708,896.0
1709,965.0
1710,1053.0
1711,924.0
1712,540.0
1713,809.0
1714,924.0
1715,1116.0
1716,1052.0
1717,902.0
1718,1099.0
1719,867.0
1720,759.0
1721,624.0
1722,829.0
1723,1010.0
1724,953.0
1725,1180.0
1726,964.0
1727,868.0
1728,918.0
1729,900.0
1730,1337.0
1731,972.0
1732,1293.0
1733,672.0
1734,756.0
1735,1098.0
1736,788.0
1737,1157.0
1738,933.0
1739,927.0
1740,810.0
1741,774.0
1742,919.0
1743,832.0
1744,1094.0
1745,865.0
1746,1071.0
1747,1171.0
1748,851.0
1749,838.0
1750,933.0
1751,796.0
1752,851.0
1753,910.0
1754,1198.0
1755,594.0
1756,1305.0
1757,1056.0
1758,751.0
1759,1114.0
1760,891.0
1761,1017.0
1762,927.0
1763,505.0
1764,891.0
1765,1153.0
1766,756.0
1767,831.0
1768,972.0
1769,560.0
1770,921.0
1771,941.0
1772,1104.0
1773,1188.0
1774,979.0
1775,856.0
1776,810.0
1777,864.0
1778,870.0
1779,736.0
1780,919.0
1781,767.0
1782,1019.0
1783,973.0
1784,962.0
1785,1029.0
1786,766.0
1787,951.0
1788,933.0
1789,1073.0
1790,1072.0
1791,618.0
1792,1094.0
1793,797.0
1794,797.0
1795,807.0
1796,990.0
1797,961.0
1798,923.0
1799,1162.0
1800,1216.0
1801,906.0
1802,1068.0
1803,1091.0
1804,594.0
1805,719.0
1806,1029.0
1807,866.0
1808,781.0
1809,852.0
1810,1212.0
1811,711.0
1812,988.0
1813,1235.0
1814,862.0
1815,1139.0
1816,770.0
1817,570.0
1818,834.0
1819,727.0
1820,1097.0
1821,1266.0
1822,1585.0
1823,1338.0
1824,771.0
1825,1038.0
1826,929.0
1827,713.0
1828,1009.0
1829,577.0
1830,783.0
1831,927.0
1832,1188.0
1833,829.0
1834,1032.0
1835,835.0
1836,816.0
1837,901.0
1838,893.0
1839,925.0
1840,837.0
1841,1343.0
1842,901.0
1843,1027.0
1844,1029.0
1845,1220.0
1846,1438.0
1847,1150.0
1848,730.0
1849,1250.0
1850,749.0
1851,1064.0
1852,869.0
1853,768.0
1854,800.0
1855,690.0
1856,819.0
1857,761.0
1858,1062.0
1859,898.0
1860,951.0
1861,441.0
1862,1023.0
1863,1205.0
1864,1139.0
1865,1013.0
1866,959.0
1867,1048.0
1868,1140.0
1869,1339.0
1870,1265.0
1871,1226.0
1872,1037.0
1873,958.0
1874,910.0
1875,1059.0
1876,923.0
1877,1053.0
1878,1170.0
1879,1076.0
1880,1040.0
1881,1060.0
1882,846.0
1883,1142.0
1884,1062.0
1885,874.0
1886,698.0
1887,1059.0
1888,888.0
1889,837.0
1890,1103.0
1891,710.0
1892,1051.0
1893,1167.0
1894,560.0
1895,712.0
1896,958.0
1897,669.0
1898,1114.0
1899,1392.0
1900,1231.0
1901,897.0
1902,1092.0
1903,953.0
1904,1093.0
1905,1139.0
1906,1031.0
1907,896.0
1908,1073.0
1909,984.0
1910,1146.0
1911,1001.0
1912,802.0
1913,855.0
1914,1225.0
1915,864.0
1916,979.0
1917,1080.0
1918,1135.0
1919,621.0
1920,1010.0
1921,865.0
1922,1417.0
1923,883.0
1924,967.0
1925,819.0
1926,1202.0
1927,1159.0
1928,753.0
1929,973.0
1930,1184.0
1931,792.0
1932,918.0
1933,1027.0
1934,1059.0
1935,1162.0
1936,891.0
1937,870.0
1938,693.0
1939,1105.0
1940,1197.0
1941,918.0
1942,959.0
1943,1153.0
1944,644.0
1945,941.0
1946,725.0
1947,855.0
1948,882.0
1949,965.0
1950,1143.0
1951,1014.0
1952,818.0
1953,1250.0
1954,1102.0
1955,621.0
1956,1100.0
1957,1155.0
1958,1046.0
1959,1235.0
1960,996.0
1961,810.0
1962,705.0
1963,1144.0
1964,902.0
1965,1306.0
1966,834.0
1967,1049.0
1968,1188.0
1969,1034.0
1970,1122.0
1971,474.0
1972,1086.0
1973,784.0
1974,848.0
1975,915.0
1976,738.0
1977,864.0
1978,1294.0
1979,972.0
1980,759.0
1981,1018.0
1982,911.0
1983,866.0
1984,937.0
1985,1435.0
1986,1127.0
1987,927.0
1988,977.0
1989,1228.0
1990,841.0
1991,1016.0
1992,1125.0
1993,862.0
1994,936.0
1995,1094.0
1996,822.0
1997,1202.0
1998,939.0
1999,1410.0
2000,1181.0
2001,520.0
2002,1108.0
2003,783.0
2004,1182.0
2005,977.0
2006,1045.0
2007,1247.0
2008,788.0
2009,1062.0
2010,1190.0
2011,1325.0
2012,1230.0
2013,938.0
2014,927.0
2015,888.0
2016,1154.0
2017,1186.0
2018,815.0
2019,954.0
2020,1035.0
2021,968.0
2022,842.0
2023,1063.0
2024,1088.0
2025,1292.0
2026,1269.0
2027,834.0
2028,988.0
2029,1099.0
2030,1064.0
2031,1121.0
2032,822.0
2033,875.0
2034,951.0
2035,921.0
2036,1176.0
2037,1221.0
2038,910.0
2039,992.0
2040,1009.0
2041,1083.0
